data,id_painel,nome_cidadao,contacto_cidadao,id_pedido,item_pedido,estado,pin_entrega,id_locker,id_lead
2025-10-19 12:19:11,24,César Monteiro,932436758,35,ITEM-9063-qy,ENTREGUE,TWAQ0489SHLA3034,29,20
2025-03-23 12:19:11,18,Nádia-Íris Faria,926317249,84,ITEM-7301-Go,PENDENTE,PDJG0685FGAK8383,17,21
2026-01-10 12:19:11,18,Sara Gaspar,926398590,31,ITEM-9452-wM,ENTREGUE,IHUC7673KQVG8390,9,22
2024-06-09 12:19:11,21,Mauro Neto,969017045,84,ITEM-5730-uG,PENDENTE,TEPB8196IBEJ5652,21,23
2026-02-03 12:19:11,22,Gaspar Rodrigues,917615246,62,ITEM-1154-vm,PENDENTE,GHFF9061YULR6269,23,24
2024-01-04 12:19:11,7,Luana Melo-Coelho,924174118,38,ITEM-8253-DU,EXPIRADO,EAAW1428BGBW0829,12,25
2025-07-02 12:19:11,17,Yasmin do Campos,928378668,27,ITEM-5637-Fy,PENDENTE,XDPY2217KIPS5300,22,26
2023-05-13 12:19:11,6,Bárbara de Pacheco,965019136,94,ITEM-0383-oR,PENDENTE,NHJD4617XCOM7247,27,27
2023-12-20 12:19:11,13,Lucas Lima,911190786,86,ITEM-4945-XL,EXPIRADO,RNCK2446XIGC7887,4,28
2023-06-25 12:19:11,14,Joana Barbosa,911583353,55,ITEM-3322-hi,ENTREGUE,OJUQ5621UQSP9440,9,29
2023-11-08 12:19:11,3,Diogo Neto,931347545,58,ITEM-7532-tq,EXPIRADO,KXJY2642LJZS5161,14,30
2024-07-15 12:19:11,2,Lorena Rodrigues,918145778,33,ITEM-4038-ND,ENTREGUE,MUEM4899BBHH3172,11,31
2023-12-26 12:19:11,15,Jaime Macedo-Andrade,917036600,83,ITEM-6884-rq,ENTREGUE,CBDS5174HTQF7830,22,32
2025-01-21 12:19:11,12,Noah Gaspar,968999378,4,ITEM-5391-Yg,PENDENTE,IKPT0801EKMB7412,13,33
2023-12-12 12:19:11,25,Gabriel Guerreiro,960761104,24,ITEM-8984-MG,EXPIRADO,UEGH1829SIXZ0169,7,34
2024-09-02 12:19:11,23,Fabiana Amaral,968677501,53,ITEM-0346-qi,EXPIRADO,MOYH5796RJGE0503,9,35
2024-12-05 12:19:11,25,Íris Azevedo-Nogueira,960295196,17,ITEM-2199-Id,ENTREGUE,VSMR6237GJBW0599,1,36
2025-09-10 12:19:11,3,Santiago Azevedo,919158953,57,ITEM-1139-bV,PENDENTE,WOGB8387ENCZ2488,20,37
2023-12-28 12:19:11,12,Luísa Amaral,926882465,98,ITEM-6895-Kb,EXPIRADO,FOQW0269YELR0985,15,38
2024-08-04 12:19:11,30,Bárbara de Pacheco,965019136,68,ITEM-2285-GW,EXPIRADO,WPXY5238AFTF8808,21,39
2024-03-08 12:19:11,29,Tatiana Matias-Anjos,933628980,42,ITEM-5203-rC,ENTREGUE,ZDVF1478JFIY5864,26,40
2025-07-06 12:19:11,2,Márcio Gaspar,922189111,79,ITEM-4133-Ya,ENTREGUE,GYAP0558YVJM2090,28,41
2024-07-16 12:19:11,8,Luana Melo-Coelho,924174118,82,ITEM-6407-vH,ENTREGUE,DJXW2437OIZK6649,3,42
2026-03-04 12:19:11,15,Joana Barbosa,911583353,31,ITEM-0113-XU,ENTREGUE,BOZT8739NANW7513,30,43
2026-01-07 12:19:11,18,Lorena Rodrigues,918145778,27,ITEM-3223-vx,ENTREGUE,RWWQ7959KJDY5524,12,44
2024-04-28 12:19:11,3,Íris Azevedo-Nogueira,960295196,36,ITEM-8267-OZ,EXPIRADO,SOEX8291MYAP9804,4,45
2024-07-29 12:19:11,28,Sara Gaspar,926398590,26,ITEM-6172-bB,PENDENTE,YTLP9235CDQF7010,7,46
2026-01-08 12:19:11,30,Tomé Mendes,938103956,66,ITEM-3444-hw,EXPIRADO,VWHU8074XYQJ9990,29,47
2026-03-02 12:19:11,4,Luana de Morais,914175647,73,ITEM-7578-QZ,ENTREGUE,EEQS5347NCQD7004,10,48
2024-11-18 12:19:11,3,Gabriel Guerreiro,960761104,75,ITEM-9470-pd,ENTREGUE,AVUT1825LPXV4356,28,49
2023-06-21 12:19:11,12,Margarida Domingues,915127543,47,ITEM-9970-Rq,PENDENTE,JCSU8756UKFC9428,21,50
2024-07-17 12:19:11,21,Ricardo Baptista,962881688,79,ITEM-9937-BF,EXPIRADO,TAVY5651XWKL2408,18,51
2025-02-08 12:19:11,22,Ângela Carvalho,969177717,28,ITEM-0243-jR,ENTREGUE,KEDQ5494FCXG0491,7,52
2026-04-11 12:19:11,30,César Monteiro,932436758,33,ITEM-3195-rZ,EXPIRADO,LBJB6032DDKD2047,27,53
2025-03-26 12:19:11,2,Sara Gaspar,926398590,8,ITEM-5003-iT,EXPIRADO,TQJG6734AGWO2232,26,54
2025-09-15 12:19:11,30,Noa Nunes,933996032,33,ITEM-8476-tE,ENTREGUE,UBYK8181IMXR6833,9,55
2024-04-14 12:19:11,1,Ivan Santos,963814909,76,ITEM-8669-tI,PENDENTE,SDER2005HPVK0467,6,56
2023-06-13 12:19:11,18,Nelson Henriques,927775033,60,ITEM-8210-Rn,EXPIRADO,AJWK7868AJIC4422,11,57
2023-06-17 12:19:11,23,Tomé Mendes,938103956,49,ITEM-5708-Bh,PENDENTE,FPKT4058DKQF4146,23,58
2025-08-27 12:19:11,9,Afonso Abreu,920855158,77,ITEM-5036-Rq,EXPIRADO,FRUH4515KEMM8212,20,59
2024-03-17 12:19:11,23,Margarida Domingues,915127543,10,ITEM-8059-MU,PENDENTE,JONF6357NAYH2569,15,60
2024-03-16 12:19:11,30,Inês Silva,934347493,76,ITEM-9463-cm,ENTREGUE,DINE8222DCTL7573,6,61
2025-01-30 12:19:11,23,Bruno Henriques,966766790,91,ITEM-5366-HY,ENTREGUE,IWWE7809FAZJ6727,1,62
2025-08-08 12:19:11,25,Íris de Fonseca,929418712,14,ITEM-1570-hh,EXPIRADO,WUHY4048BRFG3728,19,63
2025-09-07 12:19:11,16,Luciana Matos,911647552,39,ITEM-6631-Th,PENDENTE,JQGT5739SXKS2284,5,64
2025-04-20 12:19:11,2,Gonçalo Pereira,924771072,64,ITEM-6618-Ol,PENDENTE,TGAV8634OSKT0427,11,65
2025-06-19 12:19:11,3,David Garcia,969103582,73,ITEM-1683-og,EXPIRADO,OBGV0055UOWB1896,12,66
2024-08-31 12:19:11,16,Gabriel Tavares,920078326,17,ITEM-0643-fl,ENTREGUE,LXYL8662ESGK0061,10,67
2023-12-18 12:19:11,1,Gustavo Lopes,924341594,61,ITEM-7505-Ca,ENTREGUE,VOGZ1215OHRL0895,9,68
2024-12-02 12:19:11,19,Naiara-Erica Sousa,937682645,19,ITEM-0872-NR,ENTREGUE,IJFK1747KUWB6655,1,69
2025-03-19 12:19:11,4,Gonçalo Pereira,924771072,13,ITEM-7606-xt,PENDENTE,XROC6354DDWX4419,21,70
2026-02-22 12:19:11,10,Joana Coelho,920440489,32,ITEM-2367-zh,ENTREGUE,NKFG5254FXKR1098,30,71
2024-07-14 12:19:11,14,Beatriz Antunes,933578172,22,ITEM-3113-ta,EXPIRADO,VABK0290IPXN6200,4,72
2025-01-19 12:19:11,12,Eva Rocha,927501548,81,ITEM-0324-Gy,EXPIRADO,YFZT0830DRJA4521,22,73
2024-02-16 12:19:11,25,Alice Vieira,917880042,51,ITEM-1762-aK,EXPIRADO,SOEV9610DYBM8996,6,74
2026-02-27 12:19:11,3,Noah Gaspar,968999378,51,ITEM-9250-TW,PENDENTE,JUJB7067SNZP2865,12,75
2026-03-27 12:19:11,27,Isabel Guerreiro,922819594,85,ITEM-3353-Dl,EXPIRADO,XVAJ1137IRTW6180,26,76
2024-01-13 12:19:11,26,Enzo Anjos,924618928,60,ITEM-4133-Hq,PENDENTE,TOQZ9703TISS0347,28,77
2024-07-15 12:19:11,18,Ivan Santos,963814909,79,ITEM-8172-RV,ENTREGUE,YCOZ2868UWJK4942,25,78
2024-03-06 12:19:11,27,Lourenço Batista,920517710,92,ITEM-0360-YW,PENDENTE,MJRF5898BMJG4255,21,79
2025-05-17 12:19:11,16,Yasmin da Coelho,934003012,37,ITEM-5237-Qb,EXPIRADO,ZYZG1947TALT3738,17,80
2025-06-19 12:19:11,11,Emília Esteves,966526008,54,ITEM-9255-ap,EXPIRADO,LDWD1098JUIE7646,26,81
2025-07-23 12:19:11,26,Carminho Coelho,929087960,3,ITEM-8450-By,PENDENTE,LVUY8481WWJO3706,30,82
2025-12-10 12:19:11,27,Lourenço Batista,920517710,22,ITEM-6718-ID,EXPIRADO,CMOG1094KULV3237,14,83
2024-09-03 12:19:11,10,Tatiana Matias-Anjos,933628980,74,ITEM-9836-Sg,PENDENTE,JLHU4415GVRS6544,9,84
2024-07-08 12:19:11,27,Gil Amorim,929384241,69,ITEM-1033-aJ,PENDENTE,YLYN1978JEOI6010,19,85
2023-05-02 12:19:11,18,Ivan Santos,963814909,87,ITEM-4119-wR,ENTREGUE,GOQJ2045OYKU2469,10,86
2024-08-12 12:19:11,2,Lucas Leite,967710442,72,ITEM-3255-JY,EXPIRADO,OUBI0035DEFI7243,29,87
2024-02-07 12:19:11,20,Tomé Mendes,938103956,28,ITEM-9012-Aw,ENTREGUE,ORQI0425DBFO5756,22,88
2023-05-10 12:19:11,29,Gabriel Tavares,920078326,68,ITEM-4060-Jn,EXPIRADO,BXPB5367JEUS4337,20,89
2025-01-16 12:19:11,4,Bianca Morais,966919375,82,ITEM-1542-no,PENDENTE,TRVP5836KOBD6674,18,90
2026-04-09 12:19:11,22,Rúben Leal,924098797,83,ITEM-7178-SQ,PENDENTE,RTTE7388WTMJ6753,21,91
2025-06-04 12:19:11,27,Luana Melo-Coelho,924174118,34,ITEM-9793-ra,PENDENTE,IUGD2483NEBT6801,27,92
2023-12-30 12:19:11,4,Luana Melo-Coelho,924174118,97,ITEM-9621-mr,EXPIRADO,VYNI8400FCBN2769,29,93
2024-10-27 12:19:11,16,Vitória-Ariana Sá,929845103,100,ITEM-2699-lX,EXPIRADO,NKQZ7091ZOWC9126,5,94
2025-02-05 12:19:11,13,Soraia da Macedo,932226674,19,ITEM-4103-uu,PENDENTE,KSAF8358GWCH6063,12,95
2026-02-03 12:19:11,1,Fabiana Amaral,968677501,86,ITEM-2780-Me,EXPIRADO,WJAW4592AOYW7333,21,96
2025-06-16 12:19:11,18,Luna Neto,914199052,22,ITEM-7316-wj,PENDENTE,CFIC4538WMVF7671,7,97
2024-07-28 12:19:11,2,Luana Torres,918390682,93,ITEM-4227-TR,ENTREGUE,AGEF5799FRBM0530,27,98
2024-10-10 12:19:11,29,Joana Barbosa,911583353,66,ITEM-3631-BK,ENTREGUE,HIIM2856LKPT8810,7,99
2025-08-26 12:19:11,10,Erica Sá,935260940,63,ITEM-6684-qW,ENTREGUE,EODG0070AZFP3814,22,100
