nif_nipc,email_login,password,nome_entidade,iban,codigo_postal
934537656,safeguard95@gmail.com,)&6GWleqvEVw,SafeGuard 95,PT30501532560018184381312,7200-290
923986559,biolab01@sapo.pt,Ak*#BrOeqIY1,BioLab 01,PT63609705996712780026644,4595-082
928800117,novamed58@clix.pt,N^3K9k05ex4Q,NovaMed 58,PT66438243783139895366658,2795-044
961645316,techluso83@hotmail.com,79TpSnsN!Zsp,TechLuso 83,PT36615127766195313961764,9970-089
523974089,medicare08@clix.pt,GscT1ZOw*nW4,MediCare 08,PT88149272847760539662902,4625-121
988760297,soltec52@gmail.com,Kfz^xex*)98B,SolTec 52,PT73414581212814889943645,6420-715
931491754,greenenergy02@hotmail.com,J0Ea@c#N^ZzS,GreenEnergy 02,PT42873737773324214619151,2820-518
912195241,nanotech03@gmail.com,$a^6jGgZvpfu,NanoTech 03,PT40147140999371983681758,2790-082
965810870,inovamais99@clix.pt,HH2hDLlz(zW8,InovaMais 99,PT58545326128055703137381,2835-515
985210338,databridge41@sapo.pt,^EGZWW+v7cZ5,DataBridge 41,PT41424276726111681552795,3320-248
965906200,marinov71@sapo.pt,p3T%GNGa*0v_,MarInov 71,PT82981013289177306727089,4810-540
910567485,aquaclean16@clix.pt,V5PPEdeC@lrR,AquaClean 16,PT94692853369704642384947,4830-215
984752775,ecoverde95@gmail.com,#85GHXqYfYIs,EcoVerde 95,PT09289208448431434909196,6230-292
946521898,turbolean12@clix.pt,!5A_A94kv6BQ,TurboLean 12,PT91703843176630135221856,6120-541
959094225,logiflow60@sapo.pt,r&3xPu*mCq$J,LogiFlow 60,PT93952597591355891573901,7600-337
968988135,smartrede37@gmail.com,WUBgFmjs!29N,SmartRede 37,PT71403594129175503231242,2740-175
944994024,flexwork34@gmail.com,lNx4pSXw_DCS,FlexWork 34,PT91541865925791129439193,9400-240
531419293,agroconde57@sapo.pt,0%YjLdkO@(#9,AgroConde 57,PT48809934489276772882614,6230-292
910795502,digitalporto34@hotmail.com,C6OY@a*W(^JQ,DigitalPorto 34,PT96049744417017006217356,4535-088
984710804,urbanbuild20@hotmail.com,ugwDnQp+O%2y,UrbanBuild 20,PT49394817889315168112350,9560-108
946671090,safeguard71@sapo.pt,M1+3gwDys(X3,SafeGuard 71,PT96946693770684700887016,5400-733
957052429,biolab41@clix.pt,o9kzB&@poGM%,BioLab 41,PT48438387560313662608804,4535-088
995358805,novamed98@hotmail.com,j^9twwUoZUIx,NovaMed 98,PT82717259419416063991701,2725-300
569052498,techluso35@clix.pt,#5fqOY(A%mO8,TechLuso 35,PT08383252135083296599791,5130-201
908416463,medicare11@gmail.com,Rq2$QtYlODl7,MediCare 11,PT95084062294500211948591,6000-194
989314251,soltec85@gmail.com,m(8N5ZFf6uS_,SolTec 85,PT49031079998071403338783,9970-089
999313307,greenenergy60@clix.pt,K3JuK+ai(Wsp,GreenEnergy 60,PT37920586695359693033995,9760-323
929127137,nanotech79@hotmail.com,U_9%Ij8w5Xve,NanoTech 79,PT78329368971538668190818,2820-446
913690161,inovamais46@hotmail.com,3i2pa92%%5gH,InovaMais 46,PT74771266709790672124288,4535-088
939267184,databridge42@clix.pt,c6($Z8n(eQRp,DataBridge 42,PT11575627117277827754582,6230-292
545188923,marinov09@hotmail.com,!*1HlX*T6^ET,MarInov 09,PT27046648404763133173993,4815-625
940818451,aquaclean65@clix.pt,@Fa9DiHmfaeE,AquaClean 65,PT21458616885214732319076,2785-614
911140481,ecoverde53@sapo.pt,c12zq5gA!BXQ,EcoVerde 53,PT98646470289768326320724,4535-088
565806454,turbolean89@sapo.pt,_1&1YiBOSTn9,TurboLean 89,PT31197414132607196760515,3140-585
971425873,logiflow53@sapo.pt,#V^WV03l_#ab,LogiFlow 53,PT89992098200958307577711,7900-190
592495501,fundacaoterranovadegandra@hotmail.com,%jIAll2un+6L,Fundação Terra Nova de Gandra,PT71449810325372476647956,6230-292
977138017,federacaoprogressodemarcodecanaveses@clix.pt,@nYq_$b6B5Hs,Federação Progresso de Marco de Canaveses,PT08229149535046109661766,4635-252
958713872,cooperativahorizontedetondela@hotmail.com,&j4gExuKUXvF,Cooperativa Horizonte de Tondela,PT10838843973308064866030,4420-200
545129700,associacaoluzdeesposende@gmail.com,)5aN@pEnIhsz,Associação Luz de Esposende,PT06769361750074577449108,2735-418
988886502,fundacaocaminhodepovoadevarzim@sapo.pt,(3*AqFozH91w,Fundação Caminho de Póvoa de Varzim,PT46170906632934968767936,1750-285
932568526,centrodeapoiosocialdesines@clix.pt,(0w#Orw##ET#,Centro de Apoio Social de Sines,PT38472747527321935452621,6420-715
944314639,cooperativafraternidadedealcobaca@sapo.pt,Rw!^fBDt$5d@,Cooperativa Fraternidade de Alcobaça,PT35177477186713818827664,5400-733
521921603,casadopovodequarteira@gmail.com,@#2sGqop0813,Casa do Povo de Quarteira,PT64931726482256984581448,4575-069
937721811,misericordiadovaledefatima@gmail.com,MM0BohxCkk_d,Misericórdia do Vale de Fátima,PT29235952614736451419004,2410-493
913350113,centrosocialraizesdequarteira@hotmail.com,cTN0PIBkU+l6,Centro Social Raízes de Quarteira,PT53050603064840878907340,3405-329
925476936,uniaosolidariadeevora@hotmail.com,8i$yA)vQv$a0,União Solidária de Évora,PT72240323114035022676451,5210-201
505899732,associacaorenascerdesabugal@clix.pt,q!%McZC5Dtn4,Associação Renascer de Sabugal,PT23495619554451183087406,3865-134
508225599,ipsscaridadedevilafrancadexira@clix.pt,!9Go^#k&iHF6,IPSS Caridade de Vila Franca de Xira,PT22895079978557080802747,3865-134
940155287,ongfuturodealcacerdosal@hotmail.com,%b#Ss2nRaJ6h,ONG Futuro de Alcácer do Sal,PT34904092179604937374814,2460-784
936662706,uniaodobemdefaro@clix.pt,5Z5TQRFt@b_G,União do Bem de Faro,PT04272972749589223351862,5300-670
518007753,associacaoredevivadecoimbra@gmail.com,)kZJQCu&DH6H,Associação Rede Viva de Coimbra,PT70300855453450074257783,2865-262
964486112,centrocomunitarioserrademangualde@clix.pt,%qUey@d)B_93,Centro Comunitário Serra de Mangualde,PT40656225235750720611794,7600-337
576914073,larsaofranciscodesantacruz@clix.pt,Bd#5Kwyn@(Jg,Lar São Francisco de Santa Cruz,PT68333069220380742370830,6420-715
528482446,fundacaoesperancadevilarealdesantoantonio@hot,0I@Aj5Ea%oe6,Fundação Esperança de Vila Real de Santo António,PT70255798002199363417905,4595-082
909240707,lardosavosdegondomar@clix.pt,kYhxhYWj+3YQ,Lar dos Avós de Gondomar,PT89410125588778101940870,9360-211
515281305,fundacaoterranovadefigueiradafoz@hotmail.com,y#U!Cuq+Mco0,Fundação Terra Nova de Figueira da Foz,PT48506576603736573529678,5300-670
947201473,federacaoprogressodeoliveiradobairro@clix.pt,!vSI^TP#e3!G,Federação Progresso de Oliveira do Bairro,PT03618213352166249281974,4810-540
955742914,cooperativahorizontederibeiragrande@gmail.com,@qH(Gem)^*5L,Cooperativa Horizonte de Ribeira Grande,PT20084208120385910133657,3000-403
502871012,associacaoluzdevaledecambra@sapo.pt,_q500^7zpptD,Associação Luz de Vale de Cambra,PT52290528431223259117970,2840-239
924021495,fundacaocaminhodeesmoriz@gmail.com,i!rWYhA5*i7%,Fundação Caminho de Esmoriz,PT70754270518253114485175,4815-625
951088058,centrodeapoiosocialdeseia@sapo.pt,01JQCbp&(qGW,Centro de Apoio Social de Seia,PT15319287897541809002763,2820-518
989776742,cooperativafraternidadedecamaradelobos@sapo.p,OxA8AMwz+9cK,Cooperativa Fraternidade de Câmara de Lobos,PT47225427644724450038319,4625-121
991118062,casadopovodemealhada@sapo.pt,J6AqVX)u%hq7,Casa do Povo de Mealhada,PT32447456087104209906581,7570-498
948398135,misericordiadovaledeserpa@gmail.com,wij!H7q9(02Z,Misericórdia do Vale de Serpa,PT55684153445182697828315,4520-996
927443504,centrosocialraizesdefreamunde@gmail.com,!*gmBcHl(7+H,Centro Social Raízes de Freamunde,PT68570528231812069500407,6420-715
580727871,uniaosolidariadevaledecambra@sapo.pt,eRPyBB$4*1le,União Solidária de Vale de Cambra,PT28185406958504605187416,4625-121
902440253,associacaorenascerdealmeirim@clix.pt,%Ab(5uToN79B,Associação Renascer de Almeirim,PT27450242177503834228671,9900-040
915469789,ipsscaridadedeleiria@hotmail.com,@40S4hpD%7tV,IPSS Caridade de Leiria,PT57558848242079537317522,6090-294
968039297,ongfuturodetorresnovas@hotmail.com,*0A1F7tDTMZK,ONG Futuro de Torres Novas,PT14100780619991879982511,4795-478
901665206,uniaodobemdealcobaca@gmail.com,a3TQA#j#Jb%p,União do Bem de Alcobaça,PT88395531277087760372128,4830-215
514792272,associacaoredevivadepovoadesantairia@gmail.co,@QGBxB!79Sgw,Associação Rede Viva de Póvoa de Santa Iria,PT98613407530015550979147,3880-163
594174772,centrocomunitarioserradegandra@sapo.pt,*r5HIg%m@tN0,Centro Comunitário Serra de Gandra,PT92012227779736413397546,2695-527
987938223,larsaofranciscodecanico@gmail.com,y_G5RMnjY!mY,Lar São Francisco de Caniço,PT55621292765532350465756,4535-088
544718784,fundacaoesperancadepesodaregua@sapo.pt,&KoWYbuBxD(1,Fundação Esperança de Peso da Régua,PT64919222433086222300320,2200-212
563861064,lardosavosdeestarreja@sapo.pt,VJCdy4Dw)@1_,Lar dos Avós de Estarreja,PT47499519263288399275613,4815-625
921051498,fundacaoterranovadesantiagodocacem@hotmail.co,0dHhB@K2!3X5,Fundação Terra Nova de Santiago do Cacém,PT59885630639226952519287,2820-446
546576412,federacaoprogressodetrancoso@gmail.com,(5YKSJEwt1XV,Federação Progresso de Trancoso,PT76912761438607533321503,2435-279
948155425,cooperativahorizontederibeiragrande@sapo.pt,Y2Va^Nhm(VM$,Cooperativa Horizonte de Ribeira Grande,PT65399436949113118753034,9980-028
966292697,associacaoluzdesantotirso@clix.pt,()@hZqea552!,Associação Luz de Santo Tirso,PT81660888907982470369005,6090-294
951016965,fundacaocaminhodeporto@gmail.com,_1*+(&we(XVh,Fundação Caminho de Porto,PT83549266544933446338450,5060-541
507218492,centrodeapoiosocialdeoliveiradeazemeis@hotmai,TD80fd&A@OiZ,Centro de Apoio Social de Oliveira de Azeméis,PT35357183979220594240390,3060-437
551369510,cooperativafraternidadedepesodaregua@gmail.co,B68DtA0l(7!v,Cooperativa Fraternidade de Peso da Régua,PT39797632646843313589662,1990-077
526374045,casadopovodesaomamededeinfesta@clix.pt,6iy6FepkT(YY,Casa do Povo de São Mamede de Infesta,PT82038838552449895263103,2695-527
975265612,misericordiadovaledecamaradelobos@gmail.com,@3%LlrEYky5b,Misericórdia do Vale de Câmara de Lobos,PT78675419410660907943127,3750-473
902990678,centrosocialraizesdesilves@hotmail.com,V)!WuzNp%46N,Centro Social Raízes de Silves,PT42186647263210020095442,3060-437
