contacto,entidade_nif_nipc,nome_contacto,descricao
Kr-09816570,913728857,Isabel-Joana Sá,Minima libero cumque debitis quisquam ipsam ipsa similique dignissimos asperiores.
234787828,901800424,Nelson do Pires,Impedit quos provident autem repellat nobis voluptatem.
210189058,915406909,Nair Campos-Barros,Et magnam culpa debitis culpa iste ab amet.
ramosjoana@example.com,907581129,João Mota,Incidunt dicta iusto maxime vero ut delectus.
Tr-67494124,951704177,Ismael Gaspar,Magni sint odit ratione quam consequatur quo tempora aspernatur.
gasparnascimento@example.com,905451936,António Neves,Vero nihil ab perspiciatis blanditiis ipsam.
vitorloureiro@example.net,951320362,Luca Antunes,Dolorum atque aperiam quasi tenetur id nihil asperiores.
yF-50953207,957144188,José Mota,Fuga mollitia itaque quaerat expedita hic vel modi exercitationem.
919981042,949039394,Afonso Freitas,Iure aliquid nihil esse repellat qui magni occaecati aperiam.
916986169,937814512,Victória Morais,Saepe voluptas corporis doloremque dolorem ex porro.
239039328,945660633,Gil Sousa,Adipisci inventore repellendus quis culpa aspernatur nesciunt reiciendis voluptatibus illo.
Yd-48894302,927722969,Larissa Anjos-Neto,Eum omnis mollitia hic deleniti nulla beatae ex.
928139418,913460239,Violeta Ribeiro,Id omnis rem adipisci alias.
cC-54436295,990112602,Irina Abreu,Odio illo aliquam reprehenderit reiciendis fugiat hic modi cum eum.
247894816,969245407,Carolina Valente,Quae iure vel sed labore ut eius non cumque.
ht-09571111,150852107,Renata Pinto,Quis officia porro non mollitia quasi.
araujojoana@example.org,927040771,Micael Almeida,Perferendis debitis pariatur maxime tenetur odit libero labore.
222614105,241936535,Cláudio Paiva,Facere error qui illo dicta facere voluptate.
ZP-44374571,982375565,Filipe Figueiredo,Maxime repudiandae assumenda molestias hic vitae ut in.
emma94@example.com,296137091,Kyara Macedo,Numquam numquam a possimus occaecati consequuntur et unde.
rq-04627058,949676484,Micael Ribeiro,Laudantium voluptate ratione aperiam odio excepturi optio.
ramosmartim@example.org,936061179,GreenEnergy 17,Accusantium deserunt nam nulla totam officiis.
254452224,962772866,TurboLean 12,Cumque ratione iste tempora veritatis.
242363165,970570037,AquaClean 62,Quam neque numquam incidunt doloribus omnis dolores exercitationem quibusdam voluptatem.
renato99@example.com,903230177,SmartRede 61,Repellat quisquam molestias nulla illo nihil beatae veniam repellendus.
292750430,913741088,NovaMed 86,Quisquam debitis maxime iusto voluptatem dignissimos dicta quasi sunt iusto doloribus.
278369449,974406950,BioLab 26,Ipsa reprehenderit fugit neque in.
SE-06707151,554686394,LogiFlow 46,Impedit recusandae ut voluptas repellat at aperiam nulla tempora.
mouraluna@example.net,530090105,EcoVerde 87,Laborum commodi nisi inventore voluptates architecto sapiente.
aH-82770167,986794838,UrbanBuild 34,Debitis vel animi itaque distinctio beatae consectetur.
969159471,979847337,SafeGuard 02,Neque officia nostrum ab repellat laudantium a aut voluptatibus.
lucia36@example.net,923967880,DigitalPorto 75,Veritatis accusamus distinctio voluptas ducimus error quidem sapiente aspernatur illo nobis.
281469431,520744232,AgroConde 37,Repudiandae veritatis ratione saepe quisquam libero porro.
UU-62568011,507991786,FlexWork 80,Saepe temporibus molestias modi.
263724050,965356231,MarInov 60,Iusto ipsa nam odio repudiandae placeat.
sabruna@example.com,980676815,NanoTech 57,Eveniet earum numquam eveniet doloribus veritatis fugiat labore.
la-89618147,535054401,DataBridge 73,Architecto dolor natus at fugit accusamus ullam.
rita28@example.com,902989660,InovaMais 20,Cum iusto laudantium ea omnis magni.
mirandajaime@example.net,554275035,TechLuso 75,Earum et sed corrupti saepe quae provident.
920949410,919671432,MediCare 47,Debitis repellendus enim quibusdam doloremque.
216557986,918434626,SolTec 31,Dolore provident nesciunt repellendus ea consequatur voluptate.
AL-76281113,959266575,GreenEnergy 68,In et molestiae dicta exercitationem provident.
UK-33039401,982696499,TurboLean 43,Impedit ea magni iste in odit ab.
cruzsalome@example.net,975967219,AquaClean 91,Consequuntur ratione quas quo perspiciatis perferendis.
203546040,593904273,SmartRede 21,Itaque magnam dolores qui provident iure corporis recusandae recusandae veritatis.
203903548,924882092,NovaMed 06,Deleniti laborum explicabo possimus recusandae vel dicta.
Ur-50394436,917408958,BioLab 87,Amet adipisci quam rem aut illo provident quia.
250724709,955092299,LogiFlow 04,Perspiciatis suscipit vero quibusdam necessitatibus sapiente dolorem sequi rerum soluta fugit.
251702429,535129172,EcoVerde 78,Asperiores non autem iure.
260881700,534752152,UrbanBuild 50,Quasi tempora ab at soluta dolorem quae molestias fugiat.
rubenbarros@example.com,560847530,SafeGuard 71,Reprehenderit accusamus occaecati blanditiis pariatur iure rerum.
263576642,917234712,DigitalPorto 41,Eaque optio ipsum ex quae consectetur minima mollitia libero vero.
931959091,925007141,AgroConde 80,Aliquam eligendi natus neque numquam corporis praesentium.
258752658,565609229,FlexWork 84,Ut architecto iusto odit earum ipsam odio nesciunt.
CB-24580918,964763022,MarInov 31,Ipsa exercitationem optio cupiditate dolorem sit qui occaecati est.
286981068,905270205,NanoTech 90,Ipsam quod eveniet quis possimus.
268784437,959769892,DataBridge 57,Veritatis pariatur iusto veritatis vitae facilis voluptate fugiat.
917543075,985185639,InovaMais 94,Totam asperiores molestias voluptatum tempore.
tU-55213497,968435447,TechLuso 07,Aut officiis numquam accusamus ipsam at cupiditate ratione voluptatibus.
916463492,921222928,MediCare 00,Suscipit consectetur tempora modi fugit nulla a natus commodi neque.
sJ-96861985,971245561,SolTec 07,Tenetur saepe pariatur nobis impedit temporibus.
nair67@example.com,959055450,GreenEnergy 72,Accusamus voluptatum mollitia reiciendis.
BO-78140261,997428011,TurboLean 71,Voluptatem deserunt doloribus animi atque aspernatur optio.
271050752,908417806,AquaClean 73,Ratione quos distinctio voluptatum corrupti voluptas cumque architecto ratione.
salvadormacedo@example.org,919987644,SmartRede 83,Dolor magnam occaecati iusto sint.
Sn-85624885,921516056,NovaMed 99,Id quibusdam totam earum nulla voluptates iusto maiores.
926973607,983970129,BioLab 25,Sint praesentium culpa sit iusto.
285560005,913065430,LogiFlow 79,A commodi quam aspernatur ducimus illum minima velit quia reprehenderit.
263510185,978887148,EcoVerde 77,Cumque aliquam ducimus saepe voluptatibus aliquid quod ex reprehenderit sint.
259182733,955781180,UrbanBuild 91,Non reiciendis tenetur quaerat molestias maiores rem.
Cx-87758523,504421436,SafeGuard 92,Commodi distinctio et suscipit voluptas vel.
uanjos@example.com,967387839,Lar dos Avós de Póvoa de Santa Iria,Necessitatibus repellendus autem accusamus optio dolore sapiente beatae atque.
267630309,992093914,Fundação Caminho de Vale de Cambra,Molestias amet repellendus placeat praesentium ducimus perspiciatis quam est.
960166337,967914695,União Solidária de Agualva-Cacém,Adipisci magni quis iure deleniti dolorum dolorem cupiditate.
lorena93@example.org,997551745,União do Bem de Torres Vedras,Placeat harum neque aliquam dolore perspiciatis aspernatur.
aY-66808848,508755163,Federação Progresso de Funchal,Sunt soluta alias eligendi error minima animi odio repudiandae totam.
vA-37596695,944037503,Associação Rede Viva de Vila do Conde,Distinctio corrupti consequuntur necessitatibus saepe delectus ratione.
928190316,945493951,Associação Luz de Paços de Ferreira,Distinctio dignissimos adipisci nulla nobis ipsum a deleniti.
259823953,979134924,IPSS Caridade de Seia,Corrupti cum atque totam assumenda corrupti autem mollitia sed.
247043446,976676541,Centro de Apoio Social de Amora,Sapiente occaecati inventore illum reiciendis nostrum.
931811695,973008435,Casa do Povo de Póvoa de Santa Iria,Eligendi quae quaerat blanditiis quas ratione magni minima.
962457233,580774682,Centro Comunitário Serra de Póvoa de Varzim,Voluptatum voluptates quasi vero tempore.
csa@example.org,557033399,Cooperativa Fraternidade de Amora,Dolores ea perferendis cumque nihil repellat.
924976248,902141722,Misericórdia do Vale de Caniço,Aspernatur amet distinctio facere neque porro placeat minima quasi.
anjoskelly@example.org,588288768,Lar São Francisco de Montijo,Vitae et quam sit rem repellendus.
PZ-46641381,506956999,Centro Social Raízes de Paços de Ferreira,Doloribus assumenda architecto sapiente tenetur provident.
bK-67378061,968569822,Cooperativa Horizonte de Amora,Incidunt molestias id ullam eum fuga ipsum.
279741364,927282478,Fundação Esperança de Gandra,Accusamus dicta vitae dolorem nulla unde qui consequuntur sit perspiciatis.
qU-47084738,594348492,Associação Renascer de Amarante,Accusamus laborum quaerat alias consectetur voluptatem adipisci debitis harum totam.
helenamonteiro@example.com,918411827,ONG Futuro de Caldas da Rainha,Quae ab quas autem quidem aliquam.
257866088,599492531,Fundação Terra Nova de Costa da Caparica,Molestias provident nam ex adipisci maiores velit necessitatibus natus ab.
209843755,995952980,Lar dos Avós de Santa Cruz,Nemo modi impedit repellat quod ex quia repellat.
zpacheco@example.org,585700564,Fundação Caminho de Trancoso,Adipisci odit delectus corporis quaerat.
ab-27058343,995212368,União Solidária de Paços de Ferreira,Sunt quas harum earum nulla.
qguerreiro@example.net,540268318,União do Bem de Serpa,Aperiam aperiam est nesciunt quis.
919656414,913953422,Federação Progresso de Aveiro,Nihil labore dolor quos autem nulla maiores.
julia48@example.org,936269882,Associação Rede Viva de Costa da Caparica,Quibusdam voluptates magni qui accusamus omnis nobis aut.
928769514,967325747,Associação Luz de Santa Maria da Feira,Ratione animi maiores quos ullam veniam.
xsantos@example.org,581226300,IPSS Caridade de Vila Franca de Xira,Eaque optio deserunt esse nam officia omnis quis optio totam.
273062664,538807736,Centro de Apoio Social de Trofa,Dolores atque dicta quam autem id officia occaecati vero harum.
204913523,958359723,Casa do Povo de Espinho,Voluptatibus vero dolor voluptatem.
helenaabreu@example.net,576430922,Centro Comunitário Serra de Ponte de Sor,Nesciunt quae ipsa commodi aliquid hic laudantium.
239273275,990974636,Cooperativa Fraternidade de Rio Maior,Iure ipsum nulla est reiciendis ipsa.
291970135,918151672,Misericórdia do Vale de Pombal,Tenetur accusamus velit saepe deserunt nesciunt sit inventore.
danielaandrade@example.com,511637504,Lar São Francisco de Horta,Vel sequi officia alias assumenda cum vitae.
939505835,512954064,Centro Social Raízes de Horta,Laborum dolorem ipsa impedit officia esse.
oA-37722691,582431124,Cooperativa Horizonte de Esposende,Totam est maxime vero ducimus sed dolor.
pD-53181158,934695735,Fundação Esperança de Marco de Canaveses,Deserunt non deleniti qui rem voluptatem molestiae soluta.
BD-95708985,972775753,Associação Renascer de Fiães,Consequuntur aliquam repellendus sed velit quaerat eveniet at accusantium natus provident.
au-75910839,983762616,ONG Futuro de Vila Nova de Foz Côa,Vel ea quaerat aliquid sapiente reprehenderit.
244529448,950124318,Fundação Terra Nova de Gandra,Non alias culpa at nostrum eveniet.
bruna05@example.org,944355262,Lar dos Avós de Alcácer do Sal,Dolor nesciunt quisquam tempora.
242879008,542006431,Fundação Caminho de Oliveira de Azeméis,Magnam eaque quia quis mollitia.
243561064,518345970,União Solidária de Paços de Ferreira,Optio architecto in ea modi amet.
brancoluis@example.org,916366458,União do Bem de Ribeira Grande,Illo possimus quis deleniti excepturi explicabo consequatur perspiciatis.
pilar91@example.com,562020072,Federação Progresso de Pombal,Officia at fugiat deserunt facilis distinctio provident ducimus.
emagalhaes@example.org,565864123,Associação Rede Viva de Sintra,Eum asperiores tempore voluptas reprehenderit.
926917518,513910985,Associação Luz de Alverca do Ribatejo,Iure quisquam expedita aut dolorem fuga explicabo veritatis.
276091369,549483959,IPSS Caridade de São Mamede de Infesta,Atque quibusdam laudantium facilis officiis quaerat dolorem incidunt molestias vel.
kjesus@example.org,965631927,Centro de Apoio Social de Leiria,Facere atque rem exercitationem sit repellendus itaque deleniti quod facilis.
289869284,918313185,Casa do Povo de Praia da Vitória,Ad nam ex nihil aspernatur quas eum reiciendis id.
